asset_id;contract_address;asset_name;collection_name;Artist;Asset Type;extraMetadata
0;0x3e43944d977dea22511da6d33c0cab666a604515;Betty's Notebook Silver Edition (Mix: 0010);Async Music Limited Editions;Bryan Brinkman;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""Verdigris Ensemble"", ""display_type"": null}, {""trait_type"": ""Artist"", ""value"": ""Bryan Brinkman"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x7d213164198040f9b665e2bd803692c2e7988d02"", ""0x1e8e749b2b578e181ca01962e9448006772b24a2""], ""signatures"": [{""address"": ""0x7D213164198040f9B665E2bd803692c2E7988D02"", ""msg"": ""Verifying Limited Editions for Betty's Notebook minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x8fa7057614a6fe3da3747846ad05b0cb494ceee0c7400cabb9d8bcf6024f32612d08671024751f0caa65a19f3c4334423ace91f8bf68d85e8229152c7d59b12000"", ""version"": ""2""}, {""address"": ""0x1e8E749b2B578E181Ca01962e9448006772b24a2"", ""msg"": ""Verifying Limited Editions for Betty's Notebook minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515"", ""sig"": ""0xc3d3c299d28289007b32dfbc7b54633621f1a94035762b9aaa86b19b1792bc6948abaed880a5db13ae8bd5f378b8bf754639a9b81604b79b908303b4b245195b1b"", ""version"": ""2""}]}, ""image_original_url"": ""QmdMXgLf6yZKD4J6E5h9547hs9QEshJeWZXQYbGV3UyyNj"", ""animation_original_url"": ""QmbRSBXezW65XEgTNX5Z3v9GH53QjcBY9pozuZR3G8pG7y"", ""metadata_original_url"": ""QmTseBpz8BLZpMVmjWcmXsy7QkYDBzYBe1bjFdLwBZs4uV""}"
1;0x3e43944d977dea22511da6d33c0cab666a604515;Circular Platinum Edition (Mix: 0000);Async Music Limited Editions;RAC;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""RAC"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x1a4b0923b0f150b5fa8cdfb2138d0d78b1ec85fc""], ""signatures"": [{""address"": ""0x1A4b0923B0F150b5Fa8CdFb2138D0D78b1EC85fC"", ""msg"": ""Verifying Limited Editions for Circular minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x836546959574deec1f1fa4e675431b53d1d9a32c6957a09a9012178e5a470dad100ff003bb3eccd1384684612dfdffac3a72c890c6d62cf513dd6e92dcf67dbe1b"", ""version"": ""2""}]}, ""image_original_url"": ""QmVBS5JgYqeZaEcQ2XMnp32JE7Lin21b5D5WJJfjtHbVb4"", ""animation_original_url"": ""QmR6FdQJV53Nsjeax3qpGun9qkthPSmUKivAWyQyFgCESo"", ""metadata_original_url"": ""QmXSYvnGtwqu8Ajt5HabxbVBUuj8ypyje5XcsXXEzREFUW""}"
2;0x3e43944d977dea22511da6d33c0cab666a604515;Circular Silver Edition (Mix: 0000);Async Music Limited Editions;RAC;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""RAC"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x1a4b0923b0f150b5fa8cdfb2138d0d78b1ec85fc""], ""signatures"": [{""address"": ""0x1A4b0923B0F150b5Fa8CdFb2138D0D78b1EC85fC"", ""msg"": ""Verifying Limited Editions for Circular minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x836546959574deec1f1fa4e675431b53d1d9a32c6957a09a9012178e5a470dad100ff003bb3eccd1384684612dfdffac3a72c890c6d62cf513dd6e92dcf67dbe1b"", ""version"": ""2""}]}, ""image_original_url"": ""QmUXBYLjzYmCkB7mfvMntKCv2eFLv7FVyFqGYYo5MxwwEr"", ""animation_original_url"": ""QmR6FdQJV53Nsjeax3qpGun9qkthPSmUKivAWyQyFgCESo"", ""metadata_original_url"": ""QmRvw7zzh8L7SzBxcPRzfRnqfPuSrJEaJofWTMhoyktxBA""}"
3;0x3e43944d977dea22511da6d33c0cab666a604515;Token Jukebox Silver Edition (Mix: 10);Async Music Limited Editions;Mighty33;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""DIGITAL"", ""display_type"": null}, {""trait_type"": ""Artist"", ""value"": ""Mighty33"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x74ec638d8e82ab4e7aacac77ef47a49e735ca7dd"", ""0x8c62dd796e13ad389ad0bfda44bb231d317ef6c6""], ""signatures"": [{""address"": ""0x74eC638D8e82ab4e7aACAC77eF47a49e735Ca7dD"", ""msg"": ""Verifying Limited Editions for Token Jukebox minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0xa1169a4128e59be88ba2f3104089801f519cb69e72bbefe4e15fd358104aff2179cfb78ec1d099d7d668e47560889d57ee7a5e53f551d173d4aac32ab76e31991b"", ""version"": ""2""}, {""address"": ""0x8C62dD796e13aD389aD0bfDA44BB231D317Ef6C6"", ""msg"": ""Verifying Limited Editions for Token Jukebox minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x0fc853f53104c8aa081785092f8d8f3638d1f47f1f74ea03caae75eabb16d85610b84ccb14f39b10dc7605e85a7008f7adfeefd5d1aa408ad42249ab08b744281b"", ""version"": ""2""}]}, ""image_original_url"": ""QmWYuc7yKGLuZKXwXcw27SxkZCfSddKF8ZGvnapSiBpFAs"", ""animation_original_url"": ""QmZLjC3nMUGGwRzi2v66U1NjuBE2KwAdtCLc7mtxYL59vm"", ""metadata_original_url"": ""QmUFY1KBdM6B5ag7oDnbZDz2p6ifUdD6FqpqmByYYb9yBh""}"
4;0x3e43944d977dea22511da6d33c0cab666a604515;Token Jukebox Silver Edition (Mix: 10);Async Music Limited Editions;Mighty33;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""DIGITAL"", ""display_type"": null}, {""trait_type"": ""Artist"", ""value"": ""Mighty33"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x74ec638d8e82ab4e7aacac77ef47a49e735ca7dd"", ""0x8c62dd796e13ad389ad0bfda44bb231d317ef6c6""], ""signatures"": [{""address"": ""0x74eC638D8e82ab4e7aACAC77eF47a49e735Ca7dD"", ""msg"": ""Verifying Limited Editions for Token Jukebox minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0xa1169a4128e59be88ba2f3104089801f519cb69e72bbefe4e15fd358104aff2179cfb78ec1d099d7d668e47560889d57ee7a5e53f551d173d4aac32ab76e31991b"", ""version"": ""2""}, {""address"": ""0x8C62dD796e13aD389aD0bfDA44BB231D317Ef6C6"", ""msg"": ""Verifying Limited Editions for Token Jukebox minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x0fc853f53104c8aa081785092f8d8f3638d1f47f1f74ea03caae75eabb16d85610b84ccb14f39b10dc7605e85a7008f7adfeefd5d1aa408ad42249ab08b744281b"", ""version"": ""2""}]}, ""image_original_url"": ""QmXYmRRhZypMGFb7ZsnsSLRxYtjouRDD6mYAuNDsBDJTnH"", ""animation_original_url"": ""QmZLjC3nMUGGwRzi2v66U1NjuBE2KwAdtCLc7mtxYL59vm"", ""metadata_original_url"": ""QmU2Z3nNEBY8Q1H5BJXwbJBukzkWGKjH1cbgeN8jbnrCdh""}"
5;0x3e43944d977dea22511da6d33c0cab666a604515;LEAVING  Silver Edition (Mix: 012003);Async Music Limited Editions;HMLTD;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""HMLTD"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x13591d9f20bfeccc5255e3e3fcdbd9b684f82011""], ""signatures"": [{""address"": ""0x13591d9f20Bfeccc5255E3E3FcDBd9B684f82011"", ""msg"": ""Verifying Limited Editions for LEAVING minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x8ae6ad5879a74060a3ddf934757f4f079a6ca7c8008af5cf2ce2dcdbe0afe9fd61401a2b23203da5960ff0c3232bbe0261529ae69e5912bed95f286dbb2682591b"", ""version"": ""2""}]}, ""image_original_url"": ""QmfJhVt4oMmG6HPsrT87SgkFHaUAqFehhtThc3Bgz5xWyP"", ""animation_original_url"": ""QmNhTvpWHDHvAuxQLBzPC1TzrDveiVGogFAzZrRcg4WfQ7"", ""metadata_original_url"": ""QmQACjdpPG2KLSRfx3rrGwv1bTQ8PhBtCTN31WJip8nSMH""}"
6;0x3e43944d977dea22511da6d33c0cab666a604515;Betty's Notebook Silver Edition (Mix: 0010);Async Music Limited Editions;Bryan Brinkman;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""Verdigris Ensemble"", ""display_type"": null}, {""trait_type"": ""Artist"", ""value"": ""Bryan Brinkman"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x7d213164198040f9b665e2bd803692c2e7988d02"", ""0x1e8e749b2b578e181ca01962e9448006772b24a2""], ""signatures"": [{""address"": ""0x7D213164198040f9B665E2bd803692c2E7988D02"", ""msg"": ""Verifying Limited Editions for Betty's Notebook minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x8fa7057614a6fe3da3747846ad05b0cb494ceee0c7400cabb9d8bcf6024f32612d08671024751f0caa65a19f3c4334423ace91f8bf68d85e8229152c7d59b12000"", ""version"": ""2""}, {""address"": ""0x1e8E749b2B578E181Ca01962e9448006772b24a2"", ""msg"": ""Verifying Limited Editions for Betty's Notebook minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515"", ""sig"": ""0xc3d3c299d28289007b32dfbc7b54633621f1a94035762b9aaa86b19b1792bc6948abaed880a5db13ae8bd5f378b8bf754639a9b81604b79b908303b4b245195b1b"", ""version"": ""2""}]}, ""image_original_url"": ""QmW5rwex5yEcTSYxkpMxsn3PRkEbsf2fSC4BiuTkLmHxYD"", ""animation_original_url"": ""QmbRSBXezW65XEgTNX5Z3v9GH53QjcBY9pozuZR3G8pG7y"", ""metadata_original_url"": ""QmerDTUaEvGBd7jR3F1VrYxX6Vu2e3hptH2wKJczsLKoTJ""}"
7;0x3e43944d977dea22511da6d33c0cab666a604515;Circular Silver Edition (Mix: 0000);Async Music Limited Editions;RAC;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""RAC"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x1a4b0923b0f150b5fa8cdfb2138d0d78b1ec85fc""], ""signatures"": [{""address"": ""0x1A4b0923B0F150b5Fa8CdFb2138D0D78b1EC85fC"", ""msg"": ""Verifying Limited Editions for Circular minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x836546959574deec1f1fa4e675431b53d1d9a32c6957a09a9012178e5a470dad100ff003bb3eccd1384684612dfdffac3a72c890c6d62cf513dd6e92dcf67dbe1b"", ""version"": ""2""}]}, ""image_original_url"": ""QmZknQA6Wko9U67KW8hHGpF3Yb2RzHas3SZTZkFWPQzg7y"", ""animation_original_url"": ""QmR6FdQJV53Nsjeax3qpGun9qkthPSmUKivAWyQyFgCESo"", ""metadata_original_url"": ""QmWq9WCxj62qJFHWceiBwXhuJerqpMeqp6r1pxKxeamA5g""}"
8;0x3e43944d977dea22511da6d33c0cab666a604515;Circular Silver Edition (Mix: 0000);Async Music Limited Editions;RAC;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""RAC"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x1a4b0923b0f150b5fa8cdfb2138d0d78b1ec85fc""], ""signatures"": [{""address"": ""0x1A4b0923B0F150b5Fa8CdFb2138D0D78b1EC85fC"", ""msg"": ""Verifying Limited Editions for Circular minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x836546959574deec1f1fa4e675431b53d1d9a32c6957a09a9012178e5a470dad100ff003bb3eccd1384684612dfdffac3a72c890c6d62cf513dd6e92dcf67dbe1b"", ""version"": ""2""}]}, ""image_original_url"": ""QmaFJaDi2j3735JEQAoK9FJgCM6CguTu9aKiysT68MXYWt"", ""animation_original_url"": ""QmR6FdQJV53Nsjeax3qpGun9qkthPSmUKivAWyQyFgCESo"", ""metadata_original_url"": ""QmabsEmeKtybgi1ywwvqBcBLADFvGoWHJcuRg8xrqUieam""}"
9;0x3e43944d977dea22511da6d33c0cab666a604515;Token Jukebox Silver Edition (Mix: 10);Async Music Limited Editions;Mighty33;;"{""attributes"": [{""trait_type"": ""Artist"", ""value"": ""DIGITAL"", ""display_type"": null}, {""trait_type"": ""Artist"", ""value"": ""Mighty33"", ""display_type"": null}], ""async-attributes"": {""artists"": [""0x74ec638d8e82ab4e7aacac77ef47a49e735ca7dd"", ""0x8c62dd796e13ad389ad0bfda44bb231d317ef6c6""], ""signatures"": [{""address"": ""0x74eC638D8e82ab4e7aACAC77eF47a49e735Ca7dD"", ""msg"": ""Verifying Limited Editions for Token Jukebox minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0xa1169a4128e59be88ba2f3104089801f519cb69e72bbefe4e15fd358104aff2179cfb78ec1d099d7d668e47560889d57ee7a5e53f551d173d4aac32ab76e31991b"", ""version"": ""2""}, {""address"": ""0x8C62dD796e13aD389aD0bfDA44BB231D317Ef6C6"", ""msg"": ""Verifying Limited Editions for Token Jukebox minted by Async Art on contract 0x3e43944d977dea22511da6d33c0cab666a604515."", ""sig"": ""0x0fc853f53104c8aa081785092f8d8f3638d1f47f1f74ea03caae75eabb16d85610b84ccb14f39b10dc7605e85a7008f7adfeefd5d1aa408ad42249ab08b744281b"", ""version"": ""2""}]}, ""image_original_url"": ""QmVes4k87dcSFhGEUF9d9QAXAq5wwGZ4E1ZPzyKFD1Z8o7"", ""animation_original_url"": ""QmZLjC3nMUGGwRzi2v66U1NjuBE2KwAdtCLc7mtxYL59vm"", ""metadata_original_url"": ""QmWgQy4bDBn1G3ZvBwjDwxLunx8ErQnTQE29Xv7KUfgKFP""}"
